code_commune_INSEE;nom_commune_postal;latitude;longitude
01371;ST MARCEL;45.94858037;4.989667102
01372;ST MARTIN DE BAVEL;45.84821267;5.678890992
01373;ST MARTIN DU FRENE;46.13598378;5.571060164
01374;ST MARTIN DU MONT;46.10615008;5.325514708
01375;ST MARTIN LE CHATEL;46.29144587;5.122917151
01376;ST MAURICE DE BEYNOST;45.83437091;4.977262152
01378;ST MAURICE DE GOURDANS;45.82001919;5.169804156
01379;ST MAURICE DE REMENS;45.95274712;5.270827648
01380;ST NIZIER LE BOUCHOUX;46.45285371;5.175990659
01381;ST NIZIER LE DESERT;46.05286156;5.142461318
01382;STE OLIVE;46.01420061;4.93624895
01383;ST PAUL DE VARAX;46.09566916;5.127624702
01384;ST RAMBERT EN BUGEY;45.95046317;5.440170846
01385;ST REMY;46.18466421;5.167713548
01386;ST SORLIN EN BUGEY;45.88630844;5.37608915
01387;ST SULPICE;46.32098061;5.041483893
01388;ST TRIVIER DE COURTES;46.46129693;5.066791957
01389;ST TRIVIER SUR MOIGNANS;46.0618478;4.901589489
01390;ST VULBAS;45.82223151;5.270196029
01391;SALAVRE;46.36353967;5.347423872
01392;SAMOGNAT;46.26487158;5.586076893
01393;SANDRANS;46.06569615;4.982826732
01396;SAULT BRENAZ;45.86540388;5.404161041
01397;SAUVERNY;46.31269082;6.110438364
01398;SAVIGNEUX;45.99734683;4.857620091
01399;SEGNY;46.29359284;6.072877438
01400;SEILLONNAZ;45.79769766;5.498106585
01401;SERGY;46.2626243;5.989145532
01402;SERMOYER;46.49819919;4.978560204
01403;SERRIERES DE BRIORD;45.81332194;5.441258804
01404;SERRIERES SUR AIN;46.14669778;5.450233629
01405;SERVAS;46.13855406;5.17887071
01406;SERVIGNAT;46.43464979;5.055599731
01407;SEYSSEL;45.94841182;5.826169799
01408;SIMANDRE SUR SURAN;46.23404716;5.422408153
01410;SONTHONNAX LA MONTAGNE;46.22297687;5.505668888
